epoch,train_loss,val_return
1,0.45594870533261983,209.1
2,0.36279247126408987,439.4
3,0.35178250257458005,500.0
4,0.34662841681923184,499.1
5,0.3436948563371386,500.0
6,0.3413356104493141,498.1
7,0.34003034417118344,499.8
